Ganancia,Diversidad
-1.796810196E8,-0.990278587575272,
-1.94969276E8,-0.983468509090959,
-1.94969276E8,-0.983468509090959,
-2.01074916E8,-0.9830467049123953,
-1.796810196E8,-0.990278587575272,
-2.01074916E8,-0.9830467049123953,
-1.94969276E8,-0.983468509090959,
-1.796810196E8,-0.990278587575272,
-2.01074916E8,-0.9830467049123953,
-1.94969276E8,-0.983468509090959,
-1.796810196E8,-0.990278587575272,
-2.01074916E8,-0.9830467049123953,
-1.65548218E8,-0.993189921515687,
-1.65548218E8,-0.993189921515687,
-1.796810196E8,-0.990278587575272,
-3.2563897996000004E8,-0.8804024891866108,
-3.188158926E8,-0.8893657009775656,
-3.30856635E8,-0.8714392773956557,
-3.2563897996000004E8,-0.8804024891866108,
-3.188158926E8,-0.8893657009775656,
-2.931957964200001E8,-0.9220760585757222,
-2.8107123415999997E8,-0.9283185849795773,
-2.701896512E8,-0.9458232043829237,
-3.0407737938E8,-0.9045714391723759,
-2.5400518095999998E8,-0.9520657307867788,
-2.511507596E8,-0.96060713839917,
-2.43123598E8,-0.969570350190125,
-3.0122295802E8,-0.9131128467847671,
-1.94969276E8,-0.983468509090959,
-1.94969276E8,-0.983468509090959,
-2.1827759136E8,-0.9797135667934166,
-2.610311912E8,-0.9466668127400509,
-3.30856635E8,-0.8714392773956557,
-3.32350057E8,-0.8624760656047007,
-3.0804604538E8,-0.9041496349938122,
-3.32350057E8,-0.8624760656047007,
-2.8503990015999997E8,-0.9278967808010137,
-2.732774225E8,-0.9372817967705324,
-2.9628356772E8,-0.913534650963331,
-3.1326370041999996E8,-0.8951864232028571,
-2.0698215736E8,-0.980557175150544,
-2.5797384695999998E8,-0.9516439266082152,
-1.796810196E8,-0.990278587575272,
-3.1326370041999996E8,-0.8951864232028571,
-2.33965138E8,-0.9704139585472524,
-2.0698215736E8,-0.980557175150544,
-2.1308779736E8,-0.9801353709719803,
-2.39154932E8,-0.9699921543686888,
-2.1308779736E8,-0.9801353709719803,
-2.662209852E8,-0.9462450085614873,
-2.8503990015999997E8,-0.9278967808010137,
-2.33965138E8,-0.9704139585472524,
-2.39154932E8,-0.9699921543686888,
-2.662209852E8,-0.9462450085614873,
-2.471820936E8,-0.9610289425777337,
-2.43123598E8,-0.969570350190125,
-2.701896512E8,-0.9458232043829237,
-2.931957964200001E8,-0.9220760585757222,
-2.5797384695999998E8,-0.9516439266082152,
-2.610311912E8,-0.9466668127400509,
-3.0407737938E8,-0.9045714391723759,
-2.511507596E8,-0.96060713839917,
-3.0122295802E8,-0.9131128467847671,
-2.8107123415999997E8,-0.9283185849795773,
-2.5400518095999998E8,-0.9520657307867788,
-3.0804604538E8,-0.9041496349938122,
-2.9628356772E8,-0.913534650963331,
-2.732774225E8,-0.9372817967705324,
-2.471820936E8,-0.9610289425777337,
-2.1827759136E8,-0.9797135667934166,
-1.65548218E8,-0.993189921515687,
-3.2563897996000004E8,-0.8804024891866108,
-3.188158926E8,-0.8893657009775656,
-1.94969276E8,-0.983468509090959,
-3.30856635E8,-0.8714392773956557,
-3.32350057E8,-0.8624760656047007,
-1.796810196E8,-0.990278587575272,
-3.1326370041999996E8,-0.8951864232028571,
-2.0698215736E8,-0.980557175150544,
-2.1308779736E8,-0.9801353709719803,
-2.8503990015999997E8,-0.9278967808010137,
