Ganancia,Diversidad
-5.4595861971085E8,-0.9308129605502381,
-5.933213587730498E8,-0.9040450683209644,
-5.009293857279498E8,-0.952051674709292,
-5.650924000988498E8,-0.9229088733337442,
-5.953588662741498E8,-0.9034397832531335,
-5.795621594270498E8,-0.914731283934205,
-5.6027330735755E8,-0.9236482646001104,
-5.472294045019499E8,-0.9306998392652542,
-5.1841817397414976E8,-0.9452667759072344,
-5.1589928357394975E8,-0.9459334035310302,
-4.865377251952498E8,-0.9577456338786661,
-4.6337455003394985E8,-0.9639425237231175,
-4.852821051760499E8,-0.9578299947143788,
-6.241397317281498E8,-0.8868058682080883,
-5.706187763810499E8,-0.9181594441723039,
-6.523830403141497E8,-0.864817238933772,
-6.009967024730498E8,-0.9000116230150346,
-5.907024227950498E8,-0.9065536945346658,
-6.112519703281498E8,-0.8949834576076275,
-6.485531591123998E8,-0.8666379012112541,
-5.1128270602324975E8,-0.9465455149188201,
-5.938793889641497E8,-0.9037663320749975,
-5.761071906670498E8,-0.9156399049785983,
-5.956070249950498E8,-0.9028577110306042,
-5.271889652249497E8,-0.9400878042349015,
-6.575031410943999E8,-0.858460311811715,
-6.008646732350497E8,-0.9009202440594278,
-5.345858799994498E8,-0.9382951618767105,
-6.470810451672997E8,-0.8675294153163603,
-6.009967024730498E8,-0.9000116230150346,
-5.907024227950498E8,-0.9065536945346658,
-6.483914607141498E8,-0.8670580418815107,
-5.818121465121498E8,-0.9140043870986905,
-5.1128270602324975E8,-0.9465455149188201,
-5.591810654795499E8,-0.9252837824800183,
-5.140230986265497E8,-0.9460465248160139,
-6.205292906101499E8,-0.8883197743203124,
-5.795621594270498E8,-0.914731283934205,
-5.650924000988498E8,-0.9229088733337442,
-5.779322098695498E8,-0.915313550722288,
-5.6757950585705E8,-0.9212733554538363,
-4.6036506081724983E8,-0.9652201785842673,
-5.996232600158498E8,-0.9010046048951406,
-5.397137424801497E8,-0.9359930163730067,
-6.245208702101499E8,-0.8860789713725736,
